item_nr,all,condition,target
1,La chambre sera mal organisée,normal,3
2,La fille se lève tôt,normal,3
3,Son cadeau me rend heureux,normal,3
4,Les cloches ont sonné longtemps,normal,3
5,Les minutes étaient passées rapidement,normal,3
6,Des clés se perdent facilement,normal,3
7,Ses photos auraient été jolies,normal,3
8,Tes chats ont beaucoup mangé,normal,3
9,Le skieur est sincèrement désolé,normal,3
10,Les maisons ont été détruites,normal,3
11,Un homme avait chanté fort,normal,3
12,Cette dame aurait vu loin,normal,3
13,Ce signe se reconnaît maintenant,normal,3
14,Sa veste me va bien,normal,3
15,Ses attentions lui font plaisir,normal,3
16,Mon copain était parti hier,normal,3
17,Tes amis se voient souvent,normal,3
18,Quelques livres ont brûlés sinon,normal,3
19,Certains portraits me représentent vraiment,normal,3
20,La porte se ferme seule,normal,3
21,Le travail avait beaucoup fatigué,normal,3
22,Les oiseaux ont sifflé joliment,normal,3
23,Un papier se déchire ici,normal,3
24,Une raison le tourmente trop,normal,3
25,Des gens nous amènent là,normal,3
26,Ce bateau vous convient bien,normal,3
27,Ces feuilles sont tombées doucement,normal,3
28,Ces rayons se forment ici,normal,3
29,Ses pieds ont été soignés,normal,3
30,Ses mains me tiennent tendrement,normal,3
31,Ses affaires sont correctement tenues,normal,3
32,Mes livres ont été lus,normal,3
33,Ma couette est lavée aujourd'hui,normal,3
34,Mes lettres ont été envoyées,normal,3
35,Ton café est devenu froid,normal,3
36,Ses fleurs sont restées belles,normal,3
37,Tes cheveux ont été mouillés,normal,3
38,Plusieurs ours se sont bousculés,normal,3
39,Une montagne se monte péniblement,normal,3
40,Le chaton avait bien grandi,normal,3
41,Parfois ton arbre est mignon,normal,3
42,Souvent la rivière coule doucement,normal,3
43,Quand les cascades sont bruyantes,normal,3
44,Lorsque le mouton dort longtemps,normal,3
45,Alors cette horloge tourne mal,normal,3
46,Comme ces affiches collent bien,normal,3
47,Et un trajet fatigue tellement,normal,3
48,Donc une girafe mange peu,normal,3
49,Ainsi les enfants dessinent calmement,normal,3
50,Et certains animaux vivent vieux,normal,3
51,Or plusieurs rats passent souvent,normal,3
52,Car quelques papillons sortent ici,normal,3
53,Aussi les vestes ferment mal,normal,3
54,Enfin cet ogre range bien,normal,3
55,Puisque ses travaux sont chers,normal,3
56,Ensuite son bureau semble propre,normal,3
57,Néanmoins les enceintes sont rondes,normal,3
58,Puis ces fleurs poussent vite,normal,3
59,Pourtant cet homme est mystérieux,normal,3
60,Aussi son livre sert parfois,normal,3
61,Toutefois le loup devient libre,normal,3
62,Sinon une lumière éblouit moins,normal,3
63,Cependant cette robe est classique,normal,3
64,Vraiment ce cochon mange lentement,normal,3
65,Si tes clés sont rouillées,normal,3
66,Ainsi un mur cache tout,normal,3
67,Enfin les biscuits cuisent rapidement,normal,3
68,Finalement la ville est vide,normal,3
69,Or le lutin travaille seul,normal,3
70,Alors ce toit glisse fortement,normal,3
71,Comme une heure annonce cela,normal,3
72,Des grosses tomates tombent pourtant,normal,3
73,Puis un lion casse ceci,normal,3
74,Car cette feuille sent bon,normal,3
75,Si ses chaussettes sont identiques,normal,3
76,Sinon son papier devient transparent,normal,3
77,Mais ta vitre sera réparée,normal,3
78,Donc ses voisins étaient proches,normal,3
79,Quand certains oiseaux chantent faux,normal,3
80,Lorsque sa guitare sonne fort,normal,3
81,La sera chambre mal organisée,across23,3
82,La se fille lève tôt,across23,3
83,Son me cadeau rend heureux,across23,3
84,Les ont cloches sonné longtemps,across23,3
85,Les étaient minutes passées rapidement,across23,3
86,Des se clés perdent facilement,across23,3
87,Ses auraient photos été jolies,across23,3
88,Tes ont chats beaucoup mangé,across23,3
89,Le est skieur sincèrement désolé,across23,3
90,Les ont maisons été détruites,across23,3
91,Un avait homme chanté fort,across23,3
92,Cette aurait dame vu loin,across23,3
93,Ce se signe reconnaît maintenant,across23,3
94,Sa me veste va bien,across23,3
95,Ses lui attentions font plaisir,across23,3
96,Mon était copain parti hier,across23,3
97,Tes se amis voient souvent,across23,3
98,Quelques ont livres brûlés sinon,across23,3
99,Certains me portraits représentent vraiment,across23,3
100,La se porte ferme seule,across23,3
101,Le avait travail beaucoup fatigué,across23,3
102,Les ont oiseaux sifflé joliment,across23,3
103,Un se papier déchire ici,across23,3
104,Une le raison tourmente trop,across23,3
105,Des nous gens amènent là,across23,3
106,Ce vous bateau convient bien,across23,3
107,Ces sont feuilles tombées doucement,across23,3
108,Ces se rayons forment ici,across23,3
109,Ses ont pieds été soignés,across23,3
110,Ses me mains tiennent tendrement,across23,3
111,Ses sont affaires correctement tenues,across23,3
112,Mes ont livres été lus,across23,3
113,Ma est couette lavée aujourd'hui,across23,3
114,Mes ont lettres été envoyées,across23,3
115,Ton est café devenu froid,across23,3
116,Ses sont fleurs restées belles,across23,3
117,Tes ont cheveux été mouillés,across23,3
118,Plusieurs se ours sont bousculés,across23,3
119,Une se montagne monte péniblement,across23,3
120,Le avait chaton bien grandi,across23,3
121,Parfois arbre ton est mignon,within23,3
122,Souvent rivière la coule doucement,within23,3
123,Quand cascades les sont bruyantes,within23,3
124,Lorsque mouton le dort longtemps,within23,3
125,Alors horloge cette tourne mal,within23,3
